,Legislative,,,,,,,,,Electric,,,,,,,,,,Other,
City,Climate action plan,Climate action plan Score,Green House Gas Inventory,Green House Gas Inventory Score,Climate Emergency,Climate Emergency Score,General Plan with Climate Element,General Plan with Climate Element Score,,Solar MW Installed,Solar MW Installed Score,EV Charging Stations,EV Charging Stations Score,MCE Enrollment,MCE Municipals,MCE P0pulation Enrollment Percent,MCE Score,Electrification -preliminary,Electrification Score,Green Businesses,Green Business Score
Antioch,Yes,10,Yes,10,No,0,No,0,,,,,,no,,,0,,0,,
Brentwood,No,0,Yes,10,No,0,Yes,15,,,,,,no,,,0,,0,,
Clayton,No,0,No,0,No,0,No,0,,,,,,no,,,0,,0,,
Concord,Yes,10,Yes,10,No,0,No,0,,,,,,Yes,no,90.8,72.7,,0,,
Danville,Yes,10,Yes,10,No,0,No,0,,,,,,yes,yes,89.7,97.425,,0,,
El Cerrito,Yes,10,Yes,10,yes,10,No,0,,,,,,Yes,yes,89.7,97.425,,0,,
Hercules,No,0,No,0,No,0,No,0,,,,,,no,,,0,in progress,25,,
Lafayette,Yes,10,Yes,10,No,0,No,0,,,,,,yes,yes,89.5,97.375,in progess,0,,
Martinez,Yes,10,Yes,10,No,0,No,0,,,,,,Yes,yes,90.6,97.65,in progress,25,,
Moraga,No,0,Yes,10,No,0,No,0,,,,,,yes,no,89.6,72.4,,0,,
Oakley,No,0,Yes,10,No,0,No,0,,,,,,no,,,0,,0,,
Orinda,No,0,Yes,10,No,0,No,0,,,,,,no,,,0,,0,,
Pinole,No,0,Yes,10,No,0,Yes,15,,,,,,yes,no,91.1,72.775,,0,,
Pittsburg,No,0,Yes,10,No,0,No,0,,,,,,yes,no,89.7,72.425,,0,,
Pleasant Hill,No,0,No,0,No,0,No,0,,,,,,yes,no,90.9,72.725,,0,,
Richmond,Yes,10,Yes,10,Yes,10,Yes,15,,,,,,Yes,yes,82,95.5,yes,100,,
San Pablo,Yes,10,Yes,10,No,0,Yes,15,,,,,,Yes,yes,86.9,96.725,,0,,
San Ramon,Yes,10,Yes,10,No,0,Yes,15,,,,,,Yes,no,90.1,72.525,,0,,
Uninc. CCC,Yes,10,Yes,10,No,0,No,0,,,,,,Yes,yes,89.1,97.275,yes,100,,
Walnut Creek,Yes,10,Yes,10,Yes,10,No,0,,,,,,Yes,yes,89.3,97.325,,0,,
