,,,,,
TABLE 1,,,,,
,,,,,
Community,Joined MCE,MT CO₂ Reduced¹,Participation Rate,Deep Green Rate,Deep Green²
Belvedere,2010,2290,81.6 %,4.4 %,2010
Corte Madera,2011,11350,84.3 %,6.2 %,2017
Fairfax,2010,6350,84.7 %,9.1 %,2010
Larkspur,2011,10870,83.4 %,5.8 %,2017
Marin County,2010,69870,79.4 %,7.3 %,2017
Mill Valley,2010,12770,84.7 %,7.8 %,2017
Novato,2011,44880,74.4 %,4.5 %,2017
Ross,2011,2470,79.4 %,6.7 %,2017
San Anselmo,2010,9070,83.9 %,8.4 %,2014
San Rafael,2010,62290,80.9 %,6.1 %,2017
Sausalito,2010,9380,85.3 %,5.8 %,2014
Tiburon,2010,8090,81.8 %,5.0 %,2017
